Time,Distance (cm),
11:19:00,41,
11:19:01,41,
11:19:02,42,
11:19:03,39,
11:19:04,40,
11:19:05,39,
11:19:06,35,
11:19:07,39,
11:19:08,39,
11:19:09,39,
11:19:10,39,
11:19:11,39,
11:19:12,39,
11:19:13,39,
11:19:14,39,
11:19:15,39,
11:19:16,39,
11:19:17,40,
11:19:18,39,
11:19:19,39,
11:19:20,39,
11:19:21,39,
11:19:22,39,
11:19:23,40,
11:19:24,39,
11:19:25,40,
11:19:26,39,
11:19:27,38,
11:19:28,39,
11:19:29,38,
11:19:30,38,
11:19:31,39,
11:19:32,38,
11:19:33,40,
11:19:34,39,
11:19:35,39,
11:19:36,39,
11:19:37,39,
11:19:38,39,
11:19:39,39,
11:19:40,40,
11:19:41,39,
11:19:42,39,
11:19:43,39,
11:19:44,39,
11:19:45,40,
11:19:46,40,
11:19:47,39,
11:19:48,40,
11:19:49,40,
11:19:50,39,
11:19:51,40,
11:19:52,39,
11:19:53,39,
11:19:54,39,
11:19:55,39,
11:19:56,39,
11:19:57,40,
11:19:58,39,
11:19:59,40,
11:20:00,40,
11:20:01,39,
11:20:02,40,
11:20:03,40,
11:20:04,40,
11:20:05,39,
11:20:06,40,
11:20:07,40,
11:20:08,39,
11:20:09,40,
11:20:10,40,
11:20:11,39,
11:20:12,40,
11:20:13,40,
11:20:14,40,
11:20:15,39,
11:20:16,40,
11:20:17,40,
11:20:18,39,
11:20:19,40,
11:20:20,40,
11:20:21,40,
11:20:22,40,
11:20:23,40,
11:20:24,40,
11:20:25,40,
11:20:26,40,
11:20:27,40,
11:20:28,40,
11:20:29,40,
11:20:30,40,
11:20:31,39,
11:20:32,40,
11:20:33,40,
11:20:34,40,
11:20:35,39,
11:20:36,40,
11:20:37,40,
11:20:38,39,
11:20:39,40,
11:20:40,40,
11:20:41,40,
11:20:42,39,
11:20:43,40,
11:20:44,40,
11:20:45,39,
11:20:46,40,
11:20:47,40,
11:20:48,40,
11:20:49,39,
11:20:50,40,
11:20:51,40,
11:20:52,39,
11:20:53,40,
11:20:54,40,
11:20:55,40,
11:20:56,40,
11:20:57,40,
11:20:58,40,
11:20:59,40,
11:21:00,40,
11:21:01,40,
11:21:02,39,
11:21:03,40,
11:21:04,40,
11:21:05,40,
11:21:06,39,
11:21:07,40,
11:21:09,40,
11:21:10,39,
11:21:11,40,
11:21:12,40,
11:21:13,39,
11:21:14,40,
11:21:15,40,
11:21:16,40,
11:21:17,40,
11:21:18,40,
11:21:19,40,
11:21:20,39,
11:21:21,40,
11:21:22,40,
11:21:23,40,
11:21:24,40,
11:21:25,40,
11:21:26,40,
11:21:27,39,
11:21:28,40,
11:21:29,40,
11:21:30,40,
11:21:31,40,
11:21:32,40,
11:21:33,39,
11:21:34,40,
11:21:35,40,
11:21:36,40,
11:21:37,40,
11:21:38,40,
11:21:39,40,
11:21:40,39,
11:21:41,40,
11:21:42,40,
11:21:43,40,
11:21:44,39,
11:21:45,39,
11:21:46,40,
11:21:47,39,
11:21:48,40,
11:21:49,40,
11:21:50,40,
11:21:51,40,
11:21:52,40,
11:21:53,40,
11:21:54,40,
11:21:55,40,
11:21:56,40,
11:21:57,40,
11:21:58,40,
11:21:59,40,
11:22:00,40,
11:22:01,40,
11:22:02,40,
11:22:03,40,
11:22:04,40,
11:22:05,40,
11:22:06,40,
11:22:07,40,
11:22:08,40,
11:22:09,40,
11:22:10,40,
11:22:11,40,
11:22:12,40,
11:22:13,40,
11:22:14,40,
11:22:15,40,
11:22:16,40,
11:22:17,40,
11:22:18,40,
11:22:19,40,
11:22:20,40,
11:22:21,40,
11:22:22,40,
11:22:23,40,
11:22:24,40,
11:22:25,40,
11:22:26,40,
11:22:27,40,
11:22:28,40,
11:22:29,40,
11:22:30,40,
11:22:31,40,
11:22:32,41,
11:22:33,40,
11:22:34,41,
11:22:35,41,
11:22:36,41,
11:22:37,41,
11:22:38,40,
11:22:39,41,
11:22:40,41,
11:22:41,41,
11:22:42,41,
11:22:43,41,
11:22:44,41,
11:22:45,41,
11:22:46,41,
11:22:47,41,
11:22:48,41,
11:22:49,41,
11:22:50,41,
11:22:51,41,
11:22:52,41,
11:22:53,41,
11:22:54,41,
11:22:55,41,
11:22:56,41,
11:22:57,41,
11:22:58,40,
11:22:59,40,
11:23:00,41,
11:23:01,41,
11:23:02,41,
11:23:03,41,
11:23:04,41,
11:23:05,41,
11:23:06,41,
11:23:07,41,
11:23:08,39,
11:23:09,41,
11:23:10,41,
11:23:11,41,
11:23:12,41,
11:23:13,39,
11:23:14,39,
11:23:15,39,
11:23:16,39,
11:23:17,39,
11:23:18,39,
11:23:20,39,
11:23:21,39,
11:23:22,39,
11:23:23,39,
11:23:24,39,
11:23:25,39,
11:23:26,39,
11:23:27,39,
11:23:28,39,
11:23:29,39,
11:23:30,39,
11:23:31,39,
11:23:32,39,
11:23:33,39,
11:23:34,39,
11:23:35,39,
11:23:36,39,
11:23:37,39,
11:23:38,39,
11:23:39,39,
11:23:40,39,
11:23:41,39,
11:23:42,39,
11:23:43,39,
11:23:44,39,
11:23:45,39,
11:23:46,39,
11:23:47,39,
11:23:48,39,
11:23:49,39,
11:23:50,39,
11:23:51,39,
11:23:52,39,
11:23:53,39,
11:23:54,39,
11:23:55,39,
11:23:56,39,
11:23:57,39,
11:23:58,39,
11:23:59,39,
11:24:00,39,
11:24:01,39,
11:24:02,39,
11:24:03,39,
11:24:04,39,
11:24:05,39,
11:24:06,41,
11:24:07,41,
11:24:08,41,
11:24:09,40,
11:24:10,40,
11:24:11,40,
11:24:12,40,
11:24:13,40,
